Date,Value
1950-01-01,-0.95058
1950-01-02,-1.51536
1950-01-03,-0.822585
1950-01-04,-0.829504
1950-01-05,0.551613
1950-01-06,-0.371079
1950-01-07,-1.25705
1950-01-08,-1.03791
1950-01-09,-0.178122
1950-01-10,-0.727649
1950-01-11,-0.869279
1950-01-12,-0.805443
1950-01-13,-0.747582
1950-01-14,-1.02665
1950-01-15,-0.872137
1950-01-16,-1.1405
1950-01-17,-1.99739
1950-01-18,-1.67253
1950-01-19,-2.05861
1950-01-20,-1.59905
1950-01-21,-0.746215
1950-01-22,-0.171321
1950-01-23,-0.497404
1950-01-24,-1.2554
1950-01-25,-0.843482
1950-01-26,-1.20801
1950-01-27,-1.81929
1950-01-28,-1.81411
1950-01-29,-2.52953
1950-01-30,-2.69976
1950-01-31,-2.39821
1950-02-01,-1.95282
1950-02-02,-0.369504
1950-02-03,0.756992
1950-02-04,1.20459
1950-02-05,1.56009
1950-02-06,2.0355
1950-02-07,2.29843
1950-02-08,2.24799
1950-02-09,1.95198
1950-02-10,1.9885
1950-02-11,2.19709
1950-02-12,1.94099
1950-02-13,1.62835
1950-02-14,1.21516
1950-02-15,0.91741
1950-02-16,0.836743
1950-02-17,0.447174
1950-02-18,0.0388879
1950-02-19,0.578455
1950-02-20,0.5222
1950-02-21,0.364602
1950-02-22,0.865232
1950-02-23,1.65528
1950-02-24,1.73926
1950-02-25,1.29677
1950-02-26,1.04878
1950-02-27,0.546923
1950-02-28,0.195406
1950-03-01,0.768905
1950-03-02,1.59185
1950-03-03,2.14028
1950-03-04,1.74865
1950-03-05,0.4406
1950-03-06,-0.941422
1950-03-07,-1.82444
1950-03-08,-1.82394
1950-03-09,-1.86968
1950-03-10,-2.02573
1950-03-11,-1.83104
1950-03-12,-1.54722
1950-03-13,-1.03633
1950-03-14,-0.487083
1950-03-15,0.0289302
1950-03-16,1.22881
1950-03-17,1.56275
1950-03-18,1.61214
1950-03-19,1.86558
1950-03-20,1.58084
1950-03-21,1.09168
1950-03-22,1.12153
1950-03-23,1.12935
1950-03-24,0.717383
1950-03-25,0.859239
1950-03-26,1.40577
1950-03-27,0.950897
1950-03-28,0.0598086
1950-03-29,-0.534107
1950-03-30,-0.306526
1950-03-31,0.381192
1950-04-01,1.00324
1950-04-02,0.452801
1950-04-03,-0.0180723
1950-04-04,-0.171993
1950-04-05,-0.945885
1950-04-06,-0.71223
1950-04-07,-0.924164
1950-04-08,-0.421516
1950-04-09,0.214928
1950-04-10,0.32646
1950-04-11,0.410391
1950-04-12,0.982862
1950-04-13,1.35875
1950-04-14,1.473
1950-04-15,1.56545
1950-04-16,0.771104
1950-04-17,0.571373
1950-04-18,-0.107736
1950-04-19,-0.0115438
1950-04-20,0.932764
1950-04-21,0.896099
1950-04-22,0.575395
1950-04-23,0.656788
1950-04-24,0.683087
1950-04-25,0.361432
1950-04-26,0.206657
1950-04-27,0.184689
1950-04-28,0.240636
1950-04-29,0.447877
1950-04-30,0.666379
1950-05-01,0.671755
1950-05-02,0.459284
1950-05-03,0.301288
1950-05-04,0.780835
1950-05-05,0.682265
1950-05-06,-0.0461354
1950-05-07,-0.371665
1950-05-08,-0.176618
1950-05-09,0.455917
1950-05-10,0.574175
1950-05-11,0.369053
1950-05-12,0.262571
1950-05-13,0.0537022
1950-05-14,0.299765
1950-05-15,0.0158237
1950-05-16,-0.0730546
1950-05-17,0.246008
1950-05-18,0.877676
1950-05-19,1.10753
1950-05-20,1.07652
1950-05-21,0.920429
1950-05-22,0.542287
1950-05-23,0.109028
1950-05-24,0.243223
1950-05-25,0.970739
1950-05-26,1.19858
1950-05-27,1.25737
1950-05-28,1.08707
1950-05-29,0.807694
1950-05-30,-0.147217
1950-05-31,-0.701976
1950-06-01,-0.613826
1950-06-02,-0.222868
1950-06-03,0.175683
1950-06-04,-0.129782
1950-06-05,-0.737874
1950-06-06,-0.953923
1950-06-07,-0.637077
1950-06-08,-0.550113
1950-06-09,-0.410063
1950-06-10,-0.356098
1950-06-11,-0.506467
1950-06-12,-0.319013
1950-06-13,-0.434457
1950-06-14,-0.690773
1950-06-15,-0.928463
1950-06-16,-0.871586
1950-06-17,-1.06445
1950-06-18,-1.23254
1950-06-19,-0.952777
1950-06-20,-0.247183
1950-06-21,0.486701
1950-06-22,0.772414
1950-06-23,0.212509
1950-06-24,0.466313
1950-06-25,0.537378
1950-06-26,-0.124925
1950-06-27,-0.832439
1950-06-28,-0.894774
1950-06-29,-0.593452
1950-06-30,-0.286226
1950-07-01,-0.4016
1950-07-02,-0.450903
1950-07-03,-0.236913
1950-07-04,-0.152784
1950-07-05,-0.0881737
1950-07-06,0.312775
1950-07-07,0.341212
1950-07-08,0.0899891
1950-07-09,-0.043643
1950-07-10,-0.1335
1950-07-11,-0.0941971
1950-07-12,-0.0119396
1950-07-13,0.160459
1950-07-14,0.281581
1950-07-15,0.171057
1950-07-16,0.303524
1950-07-17,0.561617
1950-07-18,0.852291
1950-07-19,1.20079
1950-07-20,0.590677
1950-07-21,0.0437655
1950-07-22,-0.291905
1950-07-23,-0.134202
1950-07-24,0.115948
1950-07-25,0.107617
1950-07-26,0.256268
1950-07-27,0.471973
1950-07-28,0.900678
1950-07-29,1.14114
1950-07-30,0.857512
1950-07-31,0.403696
1950-08-01,0.211811
1950-08-02,0.0103559
1950-08-03,-0.279634
1950-08-04,0.0250079
1950-08-05,0.306204
1950-08-06,0.114829
1950-08-07,-0.157204
1950-08-08,-0.570904
1950-08-09,-0.944136
1950-08-10,-1.06119
1950-08-11,-1.00257
1950-08-12,-0.733662
1950-08-13,-0.42022
1950-08-14,-0.202586
1950-08-15,-0.134014
1950-08-16,-0.511719
1950-08-17,-0.928513
1950-08-18,-1.32811
1950-08-19,-1.2326
1950-08-20,-1.20127
1950-08-21,-1.04562
1950-08-22,-0.502018
1950-08-23,0.0931646
1950-08-24,0.43987
1950-08-25,0.648424
1950-08-26,1.14238
1950-08-27,1.25561
1950-08-28,1.24806
1950-08-29,1.10776
1950-08-30,0.551265
1950-08-31,0.160124
1950-09-01,0.382711
1950-09-02,0.296807
1950-09-03,0.565239
1950-09-04,1.06017
1950-09-05,0.95887
1950-09-06,0.668434
1950-09-07,-0.10996
1950-09-08,-0.776615
1950-09-09,-0.891789
1950-09-10,-1.01511
1950-09-11,-0.843619
1950-09-12,-0.69429
1950-09-13,-0.734946
1950-09-14,-0.833012
1950-09-15,-0.620352
1950-09-16,-0.538838
1950-09-17,-0.0211665
1950-09-18,0.216717
1950-09-19,0.437895
1950-09-20,0.935361
1950-09-21,0.432611
1950-09-22,1.04214
1950-09-23,1.3444
1950-09-24,1.47439
1950-09-25,1.16924
1950-09-26,0.921404
1950-09-27,0.0383048
1950-09-28,-1.32926
1950-09-29,-2.16466
1950-09-30,-1.89601
1950-10-01,-1.29632
1950-10-02,-1.20997
1950-10-03,-0.921278
1950-10-04,-0.0101564
1950-10-05,0.468264
1950-10-06,0.598219
1950-10-07,0.53739
1950-10-08,0.812254
1950-10-09,1.33157
1950-10-10,1.48312
1950-10-11,0.85669
1950-10-12,0.335629
1950-10-13,-0.165408
1950-10-14,-0.0757291
1950-10-15,-0.00561476
1950-10-16,-0.421406
1950-10-17,-0.600741
1950-10-18,-0.883698
1950-10-19,-0.963118
1950-10-20,-0.841997
1950-10-21,-0.67775
1950-10-22,-0.760326
1950-10-23,-0.232614
1950-10-24,0.605836
